464,28568
37,27006
258,26037
600,25190
692,24430
315,24260
648,23894
238,23848
74,23515
926,23043
963,21981
321,21806
154,21781
1,21410
1221,21322
153,21013
243,20204
85,19930
367,19803
444,19376
184,19365
216,19100
50,18980
756,18892
930,18785
433,18779
267,18419
47,18177
65,18061
495,17945
1230,17910
649,17808
895,17658
201,17648
189,17639
840,17567
929,17112
853,17060
688,16899
1155,16575
373,16555
587,16371
1286,15961
81,15575
245,15545
304,15526
1283,15450
810,15332
831,15235
615,15171
461,14665
1115,14593
878,14419
215,14387
139,14377
596,14367
884,14354
959,14192
391,14143
344,14122
32,14099
430,14071
1255,13801
950,13749
837,13728
791,13688
116,13602
887,13598
199,13482
434,13438
1216,13404
725,13364
1236,13302
472,13172
1118,13163
257,13145
662,13144
1033,13117
802,12955
223,12906
230,12718
459,12715
1116,12590
653,12525
364,12518
369,12501
457,12443
61,12409
0,12369
735,12309
736,12173
1226,12141
79,12062
1257,11952
1008,11940
1143,11805
345,11775
1273,11687
529,11605
650,11445
370,11412
1028,11410
678,11316
442,11218
76,11142
342,11070
207,11028
163,11027
371,10979
1027,10960
248,10952
191,10902
652,10749
836,10677
117,10666
455,10633
893,10616
232,10531
633,10352
841,10348
148,10213
330,10025
1256,9907
42,9889
253,9869
124,9808
518,9754
1117,9666
1010,9621
66,9600
694,9583
144,9538
936,9525
910,9464
372,9377
247,9358
889,9356
1242,9279
796,9254
1109,9240
182,9215
1182,9212
386,9201
806,9190
1046,9187
436,9173
1235,9159
301,9148
496,9143
1026,9133
1277,9102
494,9086
72,8979
87,8928
435,8902
316,8827
260,8807
672,8775
795,8681
447,8677
9,8621
528,8557
952,8479
1132,8465
581,8455
932,8441
28,8438
1031,8398
382,8355
514,8313
607,8260
1100,8259
405,8257
143,8223
185,8170
658,8164
293,8160
958,8154
638,8054
769,8053
1049,7956
467,7954
485,7944
328,7915
1280,7893
1309,7781
487,7766
949,7763
323,7759
897,7720
941,7710
390,7692
392,7690
512,7669
825,7554
465,7553
14,7474
426,7441
979,7425
693,7411
411,7359
1082,7308
343,7307
395,7251
1219,7249
618,7246
63,7225
758,7161
1146,7154
255,7126
99,7119
217,7111
912,7098
523,7092
1275,7077
1205,7040
401,7035
126,6998
242,6940
340,6859
640,6854
240,6848
744,6844
913,6835
86,6816
597,6809
381,6795
7,6782
175,6771
578,6766
803,6764
805,6735
623,6715
168,6673
981,6670
420,6664
366,6660
1290,6629
1021,6627
387,6609
476,6598
916,6589
1096,6573
162,6573
384,6526
100,6520
530,6472
866,6437
971,6428
374,6410
824,6345
816,6246
1229,6238
1231,6237
599,6226
135,6215
262,6163
13,6128
1034,6124
1312,6101
121,6091
176,6052
427,6050
1076,6027
759,5974
263,5936
951,5934
842,5905
36,5893
833,5879
98,5855
553,5842
70,5785
113,5743
349,5736
732,5732
1149,5708
1214,5694
883,5661
348,5660
1112,5654
1173,5649
54,5643
954,5628
907,5599
52,5599
869,5573
956,5558
1244,5523
261,5489
577,5484
1069,5455
289,5447
500,5447
134,5424
1001,5416
1025,5408
608,5374
1282,5351
984,5343
699,5342
520,5337
911,5327
775,5296
573,5272
218,5268
605,5265
466,5255
682,5215
92,5199
905,5197
235,5168
212,5165
943,5165
142,5143
1305,5135
209,5076
871,5059
1079,5053
317,5050
737,4883
214,4875
44,4849
1126,4839
440,4816
377,4812
738,4802
1133,4775
285,4760
885,4758
773,4757
483,4738
1260,4736
90,4727
724,4720
359,4699
180,4698
27,4695
1032,4673
327,4663
1294,4636
845,4595
619,4591
1281,4555
571,4521
888,4502
437,4485
1239,4450
572,4427
507,4414
305,4410
312,4409
484,4408
679,4407
409,4340
1303,4335
955,4288
20,4279
82,4269
510,4266
785,4259
589,4257
621,4247
283,4227
1043,4227
220,4215
742,4183
987,4180
1237,4155
1147,4121
354,4102
996,4067
670,4048
